tweet_id,favorite_count,retweet_count,retweeted
852189679701164033,11120,1528,False
851861385021730816,0,19,False
851591660324737024,15791,3328,False
851464819735769094,23569,6790,False
851224888060895234,20120,5528,False
850753642995093505,29921,8756,False
850380195714523136,12754,2510,False
850333567704068097,3364,315,False
850145622816686080,15911,3660,False
850019790995546112,19872,4695,False
849776966551130114,29601,7311,False
849668094696017920,0,4775,False
849412302885593088,15472,3039,False
849336543269576704,11140,1833,False
849051919805034497,41288,8185,False
848690551926992896,24579,4178,False
848324959059550208,24121,4475,False
848213670039564288,7984,701,False
848212111729840128,15950,2929,False
847978865427394560,0,3156,False
847971574464610304,0,420,False
847962785489326080,22999,4905,False
847842811428974592,5314,1283,False
847617282490613760,6831,401,False
847606175596138505,18372,3329,False
847251039262605312,20060,4195,False
847157206088847362,19467,5689,False
847116187444137987,21017,3088,False
846874817362120707,19670,3808,False
846514051647705089,43645,11178,False
846505985330044928,13809,2975,False
846153765933735936,30925,8768,False
846139713627017216,30438,9754,False
846042936437604353,15660,2779,False
845812042753855489,28634,8428,False
845677943972139009,24708,4670,False
845397057150107648,7486,1744,False
845306882940190720,22884,5241,False
845098359547420673,0,7447,False
844979544864018432,13390,2476,False
844973813909606400,14794,3094,False
844580511645339650,16180,3036,False
844223788422217728,13432,2134,False
843981021012017153,14921,2880,False
843856843873095681,21080,4509,False
843604394117681152,16602,2671,False
843235543001513987,21151,5876,False
842846295480000512,15047,3548,False
842765311967449089,6630,1245,False
842535590457499648,17828,3426,False
842163532590374912,24058,5649,False
842115215311396866,13763,2958,False
841833993020538882,0,14691,False
841680585030541313,25367,7639,False
841439858740625411,12456,3595,False
841320156043304961,19520,5381,False
841314665196081154,15634,4540,False
841077006473256960,22526,5193,False
840761248237133825,0,1729,False
840728873075638272,0,15732,False
840698636975636481,174,2,False
840696689258311684,12129,949,False
840632337062862849,8870,1729,False
840370681858686976,16223,4458,False
840268004936019968,19008,5603,False
839990271299457024,13243,2227,False
839549326359670784,27105,7597,False
839290600511926273,0,140,False
839239871831150596,26779,6409,False
838952994649550848,19419,3916,False
838921590096166913,10999,2011,False
838916489579200512,0,34,False
838831947270979586,0,10800,False
838561493054533637,10831,1311,False
838476387338051585,22226,4685,False
838201503651401729,0,9851,False
838150277551247360,1652,325,False
838085839343206401,138,1,False
838083903487373313,17419,3067,False
837820167694528512,33675,7711,False
837482249356513284,3821,437,False
837471256429613056,12649,2232,False
837110210464448512,15886,2327,False
836989968035819520,12619,2265,False
836753516572119041,19149,4568,False
836677758902222849,12497,2194,False
836648853927522308,0,549,False
836397794269200385,0,27061,False
836380477523124226,14627,2942,False
836260088725786625,21116,4242,False
836001077879255040,18909,4191,False
835685285446955009,0,8011,False
835574547218894849,17634,3564,False
835536468978302976,0,1666,False
835309094223372289,0,20614,False
835297930240217089,16325,2965,False
835264098648616962,7668,1666,False
835246439529840640,2084,72,False
835172783151792128,25944,5682,False
835152434251116546,22196,2963,False
834931633769889797,10713,1616,False
834786237630337024,21228,5427,False
